"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","user","test cicd","Tue Feb 11 12:25:36 UTC 2025","passed","Tue Feb 11 12:25:36 UTC 2025","","user","",""
"","323","Login Copy","test cicd","Tue Feb 11 12:25:36 UTC 2025","passed","Tue Feb 11 12:25:36 UTC 2025","","login","",""
"","311","customer login","test cicd","Tue Feb 11 12:25:36 UTC 2025","passed","Tue Feb 11 12:25:37 UTC 2025","","customer","",""
"","322","customer login","test cicd","Tue Feb 11 12:25:37 UTC 2025","passed","Tue Feb 11 12:25:37 UTC 2025","","customer Copy","",""
"","572","user can't login with invalid email","test cicd","Tue Feb 11 12:25:35 UTC 2025","passed","Tue Feb 11 12:25:36 UTC 2025","","Invalid User","",""
