"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","user","test cicd","Thu Feb 13 05:45:01 UTC 2025","passed","Thu Feb 13 05:45:01 UTC 2025","","user","",""
"","301","customer login","test cicd","Thu Feb 13 05:45:02 UTC 2025","passed","Thu Feb 13 05:45:02 UTC 2025","","customer Copy","",""
"","307","Login Copy","test cicd","Thu Feb 13 05:45:01 UTC 2025","passed","Thu Feb 13 05:45:01 UTC 2025","","login Copy","",""
"","306","Login Copy","test cicd","Thu Feb 13 05:45:01 UTC 2025","passed","Thu Feb 13 05:45:01 UTC 2025","","login","",""
"","580","user can't login with invalid email","test cicd","Thu Feb 13 05:45:00 UTC 2025","passed","Thu Feb 13 05:45:01 UTC 2025","","Invalid User","",""
"","320","user","test cicd","Thu Feb 13 05:45:01 UTC 2025","passed","Thu Feb 13 05:45:02 UTC 2025","","user Copy","",""
"","303","customer login","test cicd","Thu Feb 13 05:45:02 UTC 2025","passed","Thu Feb 13 05:45:02 UTC 2025","","customer","",""
