"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","user","test cicd","Tue Feb 11 12:30:23 UTC 2025","passed","Tue Feb 11 12:30:23 UTC 2025","","user","",""
"","562","user can't login with invalid email","test cicd","Tue Feb 11 12:30:22 UTC 2025","passed","Tue Feb 11 12:30:23 UTC 2025","","Invalid User","",""
"","305","customer login","test cicd","Tue Feb 11 12:30:23 UTC 2025","passed","Tue Feb 11 12:30:24 UTC 2025","","customer Copy","",""
"","310","Login Copy","test cicd","Tue Feb 11 12:30:23 UTC 2025","passed","Tue Feb 11 12:30:23 UTC 2025","","login","",""
"","294","customer login","test cicd","Tue Feb 11 12:30:23 UTC 2025","passed","Tue Feb 11 12:30:23 UTC 2025","","customer","",""
