"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","customer login","test cicd","Thu Feb 13 04:36:15 UTC 2025","passed","Thu Feb 13 04:36:15 UTC 2025","","customer Copy","",""
"","290","Login Copy","test cicd","Thu Feb 13 04:36:14 UTC 2025","passed","Thu Feb 13 04:36:14 UTC 2025","","login Copy","",""
"","557","user can't login with invalid email","test cicd","Thu Feb 13 04:36:13 UTC 2025","passed","Thu Feb 13 04:36:13 UTC 2025","","Invalid User","",""
"","307","Login Copy","test cicd","Thu Feb 13 04:36:13 UTC 2025","passed","Thu Feb 13 04:36:14 UTC 2025","","login","",""
"","306","user","test cicd","Thu Feb 13 04:36:14 UTC 2025","passed","Thu Feb 13 04:36:15 UTC 2025","","user Copy","",""
"","305","customer login","test cicd","Thu Feb 13 04:36:15 UTC 2025","passed","Thu Feb 13 04:36:15 UTC 2025","","customer","",""
"","306","user","test cicd","Thu Feb 13 04:36:14 UTC 2025","passed","Thu Feb 13 04:36:14 UTC 2025","","user","",""
